,Category,Word,FirstLetter,Word.1,Freq
429,Beruf,Astrophysikerin,A,,5.0
430,Beruf,Athlet,A,,175.0
431,Beruf,Athletiker,A,,12.0
432,Beruf,Athletin,A,,109.0
433,Beruf,Atomphysiker,A,,2.0
434,Beruf,Atomwissenschaftler,A,,2.0
435,Beruf,Attentäter,A,,179.0
436,Beruf,Attentäterin,A,,8.0
437,Beruf,Au-pair,A,,22.0
438,Beruf,Audit,A,,182.0
439,Beruf,Auditor,A,,53.0
440,Beruf,Aufbaugymnasium,A,,2.0
441,Beruf,Aufbauhelfer,A,,1.0
442,Beruf,Aufbauhilfe,A,,16.0
443,Beruf,Aufbereiter,A,,1.0
444,Beruf,Aufbereitungsmechaniker,A,,1.0
445,Beruf,Aufklärer,A,,63.0
446,Beruf,Aufklärungsabteilung,A,,1.0
447,Beruf,Aufnahmeleiter,A,,8.0
448,Beruf,Aufnahmeleiterin,A,,4.0
449,Beruf,Aufreißer,A,,1.0
450,Beruf,Aufschläger,A,,5.0
451,Beruf,Aufseher,A,,61.0
452,Beruf,Aufseherin,A,,8.0
453,Beruf,Aufsicht,A,,859.0
454,Beruf,Aufsichtsbeamte,A,,2.0
455,Beruf,Aufsichtsperson,A,,18.0
456,Beruf,Auftraggeber,A,,942.0
457,Beruf,Auftraggeberin,A,,19.0
458,Beruf,Auftragnehmer,A,,198.0
459,Beruf,Aufwärterin,A,,1.0
460,Beruf,Augenarzt,A,,66.0
461,Beruf,Augenarzt/-ärztin,A,,1.0
462,Beruf,Augenoptiker,A,,28.0
463,Beruf,Augenoptiker/in,A,,1.0
464,Beruf,Augenoptikerin,A,,3.0
465,Beruf,Augenoptikermeister,A,,1.0
466,Beruf,Augenärztin,A,,7.0
467,Beruf,Auguren,A,,7.0
468,Beruf,Augustinerchorherrenstift,A,,1.0
469,Beruf,Auktionator,A,,19.0
470,Beruf,Aus- und Weiterbildungspädagoge,A,,1.0
471,Beruf,Ausbaufacharbeiter,A,,3.0
472,Beruf,Ausbilder,A,,343.0
473,Beruf,Ausbilderin,A,,44.0
474,Beruf,Ausbildungsbeauftragte,A,,10.0
475,Beruf,Ausbildungsbegleiter,A,,2.0
476,Beruf,Ausbildungsberater,A,,14.0
477,Beruf,Ausbildungsberaterin,A,,2.0
478,Beruf,Ausbildungsberuf,A,,209.0
479,Beruf,Ausbildungskoordinator,A,,2.0
